epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9744,0.96435,2.68213,1.35114,0.00423,0.97059,0.06382,0.04751,0.42999,3.0181,1.01128,2e-05,2e-05,2e-05
2,27.7465,0.78943,2.57323,1.23281,0.00423,0.97059,0.16791,0.12428,0.41069,2.99526,0.99836,5.9406e-05,5.9406e-05,5.9406e-05
3,44.2758,0.79041,2.58211,1.33475,0.00423,0.97059,0.54203,0.44675,0.39524,2.99462,0.99194,9.802e-05,9.802e-05,9.802e-05
4,58.6021,0.66732,2.44253,1.18766,0.00423,0.97059,0.72265,0.5962,0.42441,2.99628,1.03009,0.000135842,0.000135842,0.000135842
5,71.5996,0.67195,2.39206,1.15476,0.00436,1,0.82119,0.73312,0.38348,2.97076,1.01547,0.000172872,0.000172872,0.000172872
6,84.6,0.67656,2.24373,1.22507,0.00436,1,0.83997,0.73964,0.35618,2.94876,0.98484,0.00020911,0.00020911,0.00020911
7,97.4975,0.64913,2.16396,1.14554,0.00436,1,0.85393,0.73411,0.46132,2.94303,1.01808,0.000244556,0.000244556,0.000244556
8,111.532,0.69365,2.03646,1.2063,0.00436,1,0.85606,0.70485,0.49786,2.92767,1.01323,0.00027921,0.00027921,0.00027921
9,124.088,0.7502,1.88349,1.19147,0.00436,1,0.86317,0.70286,0.48627,2.92131,1.00873,0.000313072,0.000313072,0.000313072
10,136.086,0.69561,1.83435,1.18824,0.00436,1,0.86332,0.73367,0.45111,2.88469,1.0067,0.000346142,0.000346142,0.000346142
11,149.039,0.79895,1.78783,1.26085,0.00436,1,0.86589,0.73543,0.44891,2.83843,1.00823,0.00037842,0.00037842,0.00037842
12,163.303,0.66222,1.62297,1.18516,0.00436,1,0.87001,0.72599,0.47879,2.80468,1.03739,0.000409906,0.000409906,0.000409906
13,177.062,0.65907,1.63095,1.21069,0.00436,1,0.85324,0.70268,0.46185,2.78791,1.04201,0.0004406,0.0004406,0.0004406
14,189.841,0.7222,1.58363,1.20026,0.74862,0.85294,0.82621,0.65408,0.51338,2.75145,1.07689,0.000470502,0.000470502,0.000470502
15,208.56,0.66787,1.49825,1.19903,0.88741,0.46393,0.8283,0.64246,0.56768,2.771,1.11484,0.000499612,0.000499612,0.000499612
16,231.184,0.79309,1.46515,1.18456,1,0.25287,0.83806,0.65073,0.63465,2.78763,1.16621,0.00052793,0.00052793,0.00052793
17,247.871,0.71738,1.31217,1.15999,1,0.31953,0.85017,0.63617,0.69457,2.80948,1.21897,0.000555456,0.000555456,0.000555456
18,262.728,0.7911,1.49091,1.28595,1,0.34921,0.87038,0.65866,0.66237,2.69214,1.19368,0.00058219,0.00058219,0.00058219
19,285.37,0.65145,1.30173,1.13876,0.92655,0.7422,0.859,0.62351,0.69288,2.49446,1.25816,0.000608132,0.000608132,0.000608132
20,307.685,0.68,1.31833,1.09929,0.95814,0.67331,0.85531,0.67393,0.67798,2.51247,1.19175,0.000633282,0.000633282,0.000633282
21,330.438,0.6154,1.14128,1.11559,1,0.65472,0.82404,0.66499,0.67884,2.61866,1.21968,0.00065764,0.00065764,0.00065764
22,355.33,0.69274,1.21049,1.14798,0.95614,0.64141,0.8311,0.66276,0.63959,2.55519,1.18066,0.000681206,0.000681206,0.000681206
23,380.86,0.72395,1.12026,1.1696,0.90795,0.58051,0.79399,0.65463,0.65948,2.65886,1.20399,0.00070398,0.00070398,0.00070398
24,404.019,0.69264,1.10206,1.15592,0.79211,0.47059,0.71741,0.46632,0.91346,2.8474,1.39948,0.000725962,0.000725962,0.000725962
25,425.394,0.65814,1.26564,1.16649,0.94952,0.55344,0.72278,0.42567,1.05876,2.85033,1.61243,0.000747152,0.000747152,0.000747152
26,446.716,0.79666,1.3437,1.21768,0.73963,0.44118,0.6871,0.50834,0.74991,2.67633,1.34729,0.00076755,0.00076755,0.00076755
27,467.932,0.70858,1.17421,1.22133,0.93789,0.44426,0.75216,0.57013,0.76406,2.75307,1.34969,0.000787156,0.000787156,0.000787156
28,489.16,0.67282,1.05185,1.15455,0.93789,0.44426,0.75216,0.57013,0.76406,2.75307,1.34969,0.00080597,0.00080597,0.00080597
29,511.974,0.67151,1.27991,1.11781,1,0.61967,0.88144,0.71164,0.6838,2.61954,1.28191,0.000823992,0.000823992,0.000823992
30,535.88,0.6051,1.05158,1.10663,1,0.73488,0.92489,0.79422,0.60311,2.38134,1.17141,0.000841222,0.000841222,0.000841222
31,561.253,0.60464,1.19877,1.12348,1,0.73488,0.92489,0.79422,0.60311,2.38134,1.17141,0.00085766,0.00085766,0.00085766
32,586.085,0.67948,1.12864,1.11947,1,0.77067,0.93839,0.83598,0.5871,2.2052,1.14021,0.000873306,0.000873306,0.000873306
33,609.683,0.68222,1.14733,1.13891,0.89641,0.76358,0.91624,0.76007,0.62838,2.19554,1.21835,0.00088816,0.00088816,0.00088816
34,632.306,0.63525,1.05743,1.05737,0.89641,0.76358,0.91624,0.76007,0.62838,2.19554,1.21835,0.000902222,0.000902222,0.000902222
35,654.61,0.63538,1.06695,1.10742,0.7007,0.58824,0.7167,0.56222,0.75157,2.46383,1.38419,0.000915492,0.000915492,0.000915492
36,677.178,0.74236,1.12593,1.20602,0.72473,0.61953,0.73731,0.56588,0.75033,2.43322,1.33532,0.00092797,0.00092797,0.00092797
37,699.324,0.68371,1.06554,1.12505,0.72473,0.61953,0.73731,0.56588,0.75033,2.43322,1.33532,0.000939656,0.000939656,0.000939656
38,721.764,0.71464,1.06149,1.19062,0.74259,0.73529,0.82134,0.65455,0.75193,2.33395,1.30226,0.00095055,0.00095055,0.00095055
39,744.317,0.69885,1.12027,1.16422,0.76878,0.78255,0.84251,0.69992,0.75321,2.18256,1.32946,0.000960652,0.000960652,0.000960652
40,766.825,0.68275,1.11476,1.1348,0.76878,0.78255,0.84251,0.69992,0.75321,2.18256,1.32946,0.000969962,0.000969962,0.000969962
41,788.997,0.64747,1.10606,1.11648,0.84583,0.67647,0.79394,0.64252,0.78013,2.21248,1.32898,0.00097848,0.00097848,0.00097848
42,811.789,0.80368,1.2205,1.31808,0.71322,0.65853,0.71443,0.56908,0.76055,2.26508,1.24454,0.000986206,0.000986206,0.000986206
43,834.235,0.71715,1.1668,1.17142,0.71322,0.65853,0.71443,0.56908,0.76055,2.26508,1.24454,0.00099314,0.00099314,0.00099314
44,857.566,0.6518,1.07938,1.11009,0.72567,0.58824,0.6809,0.51134,0.88159,2.3348,1.28204,0.000999282,0.000999282,0.000999282
45,880.182,0.6696,1.03473,1.12485,0.72567,0.58824,0.6809,0.51134,0.88159,2.3348,1.28204,0.00100463,0.00100463,0.00100463
46,892.572,0.71247,1.07116,1.14266,0.78551,0.64629,0.70984,0.56622,0.85475,2.20792,1.3398,0.00100919,0.00100919,0.00100919
47,905.21,0.77132,1.19003,1.23437,0.78551,0.64629,0.70984,0.56622,0.85475,2.20792,1.3398,0.00101296,0.00101296,0.00101296
48,916.359,0.66369,0.9963,1.13771,0.77254,0.70588,0.80437,0.62308,0.8791,2.18345,1.41924,0.00101593,0.00101593,0.00101593
49,927.778,0.66653,1.10938,1.18238,0.77254,0.70588,0.80437,0.62308,0.8791,2.18345,1.41924,0.00101811,0.00101811,0.00101811
50,938.853,0.61999,0.94507,1.07389,0.92622,0.73854,0.85839,0.67199,0.77935,2.2033,1.24637,0.0010195,0.0010195,0.0010195
51,951.163,0.68339,0.95952,1.09892,0.92622,0.73854,0.85839,0.67199,0.77935,2.2033,1.24637,0.00101,0.00101,0.00101
52,965.602,0.71706,1.07152,1.14525,0.88693,0.69237,0.80121,0.65289,0.78445,2.18599,1.24227,0.0009902,0.0009902,0.0009902
53,978.024,0.72047,0.95289,1.15006,0.88693,0.69237,0.80121,0.65289,0.78445,2.18599,1.24227,0.0009704,0.0009704,0.0009704
54,989.7,0.58407,0.91746,1.09339,0.89507,0.79412,0.84397,0.67823,0.71192,2.0571,1.22214,0.0009506,0.0009506,0.0009506
55,1002.72,0.56422,0.91684,1.06471,0.89507,0.79412,0.84397,0.67823,0.71192,2.0571,1.22214,0.0009308,0.0009308,0.0009308
56,1015.67,0.6047,0.96362,1.08694,0.8703,0.82353,0.87559,0.75121,0.67455,1.85932,1.16204,0.000911,0.000911,0.000911
57,1030.38,0.63863,0.92356,1.08624,0.8703,0.82353,0.87559,0.75121,0.67455,1.85932,1.16204,0.0008912,0.0008912,0.0008912
58,1042.28,0.65107,0.97275,1.12121,0.90061,0.82353,0.91194,0.79813,0.66494,1.7097,1.15347,0.0008714,0.0008714,0.0008714
59,1054.48,0.70284,1.04129,1.18712,0.90061,0.82353,0.91194,0.79813,0.66494,1.7097,1.15347,0.0008516,0.0008516,0.0008516
60,1067.21,0.60744,0.90114,1.10748,0.87651,0.85294,0.90039,0.7749,0.6926,1.63624,1.17596,0.0008318,0.0008318,0.0008318
61,1078.07,0.65711,0.9542,1.14089,0.87651,0.85294,0.90039,0.7749,0.6926,1.63624,1.17596,0.000812,0.000812,0.000812
62,1089.76,0.62353,1.07614,1.16073,0.86072,0.90889,0.91893,0.79742,0.59703,1.51767,1.08579,0.0007922,0.0007922,0.0007922
63,1100.95,0.57782,0.93352,1.07118,0.86072,0.90889,0.91893,0.79742,0.59703,1.51767,1.08579,0.0007724,0.0007724,0.0007724
64,1111.65,0.59375,0.85545,1.04134,0.86463,0.97059,0.94657,0.80722,0.58347,1.44257,1.09379,0.0007526,0.0007526,0.0007526
65,1122.78,0.55921,0.87352,1.06805,0.86463,0.97059,0.94657,0.80722,0.58347,1.44257,1.09379,0.0007328,0.0007328,0.0007328
66,1134.51,0.5616,0.82078,1.08314,0.88531,0.90821,0.94317,0.75732,0.64273,1.42933,1.27315,0.000713,0.000713,0.000713
67,1146.83,0.57822,0.88664,1.09867,0.88531,0.90821,0.94317,0.75732,0.64273,1.42933,1.27315,0.0006932,0.0006932,0.0006932
68,1158.23,0.53053,0.83845,1.07963,0.85777,0.91176,0.94855,0.75528,0.6471,1.42435,1.27794,0.0006734,0.0006734,0.0006734
69,1169.9,0.53341,0.8959,1.07477,0.85777,0.91176,0.94855,0.75528,0.6471,1.42435,1.27794,0.0006536,0.0006536,0.0006536
70,1181.32,0.60383,0.83064,1.061,0.868,0.96708,0.9753,0.82895,0.58092,1.21083,1.18217,0.0006338,0.0006338,0.0006338
71,1192.72,0.53865,0.82091,1.00765,0.868,0.96708,0.9753,0.82895,0.58092,1.21083,1.18217,0.000614,0.000614,0.000614
72,1207.23,0.60062,0.85453,1.09254,0.97108,0.98774,0.99357,0.88851,0.46745,1.10613,1.00649,0.0005942,0.0005942,0.0005942
73,1218.79,0.5047,0.76836,1.00909,0.97108,0.98774,0.99357,0.88851,0.46745,1.10613,1.00649,0.0005744,0.0005744,0.0005744
74,1232.78,0.57653,0.88161,1.06534,0.9678,0.97059,0.99161,0.87453,0.4441,1.08842,0.98316,0.0005546,0.0005546,0.0005546
75,1245.8,0.46013,0.75024,1.00992,0.9678,0.97059,0.99161,0.87453,0.4441,1.08842,0.98316,0.0005348,0.0005348,0.0005348
76,1257.7,0.57023,0.86534,1.05738,0.99347,0.97059,0.99045,0.89474,0.42241,1.08403,0.9686,0.000515,0.000515,0.000515
77,1269.03,0.53704,0.78893,1.03523,0.99347,0.97059,0.99045,0.89474,0.42241,1.08403,0.9686,0.0004952,0.0004952,0.0004952
78,1282.4,0.52227,0.7967,1.04932,0.90349,0.94118,0.97033,0.90206,0.39986,1.13876,0.9445,0.0004754,0.0004754,0.0004754
79,1296.96,0.47298,0.77993,1.03166,0.90349,0.94118,0.97033,0.90206,0.39986,1.13876,0.9445,0.0004556,0.0004556,0.0004556
80,1310.74,0.4665,0.7022,0.96423,0.91183,0.91255,0.96712,0.89907,0.37497,1.15765,0.92148,0.0004358,0.0004358,0.0004358
81,1322.2,0.52819,0.78398,1.04621,0.91183,0.91255,0.96712,0.89907,0.37497,1.15765,0.92148,0.000416,0.000416,0.000416
82,1334.74,0.54226,0.73685,1.09801,0.92324,0.91176,0.96734,0.90933,0.3657,1.1655,0.91094,0.0003962,0.0003962,0.0003962
83,1349.23,0.47455,0.74097,1.01403,0.92324,0.91176,0.96734,0.90933,0.3657,1.1655,0.91094,0.0003764,0.0003764,0.0003764
84,1364.39,0.52514,0.80649,1.03662,1,0.91168,0.98687,0.93335,0.35949,1.04103,0.91368,0.0003566,0.0003566,0.0003566
85,1378.82,0.49605,0.82744,1.10272,1,0.91168,0.98687,0.93335,0.35949,1.04103,0.91368,0.0003368,0.0003368,0.0003368
86,1393.13,0.52656,0.78033,1.00555,1,0.99835,0.995,0.94496,0.35156,0.94704,0.91224,0.000317,0.000317,0.000317
87,1407.13,0.57971,0.85542,1.09144,1,0.99835,0.995,0.94496,0.35156,0.94704,0.91224,0.0002972,0.0002972,0.0002972
88,1419.63,0.41933,0.68928,0.97554,0.99711,1,0.995,0.95624,0.34034,0.94382,0.90653,0.0002774,0.0002774,0.0002774
89,1431.17,0.39704,0.66526,0.94528,0.99711,1,0.995,0.95624,0.34034,0.94382,0.90653,0.0002576,0.0002576,0.0002576
90,1442.88,0.45761,0.66379,0.96886,0.99755,1,0.995,0.96593,0.32499,0.91373,0.89929,0.0002378,0.0002378,0.0002378
91,1456,0.32196,1.06927,0.88512,0.99755,1,0.995,0.96593,0.32499,0.91373,0.89929,0.000218,0.000218,0.000218
92,1470.64,0.30558,1.03538,0.90495,0.99793,1,0.995,0.97389,0.31649,0.89361,0.89166,0.0001982,0.0001982,0.0001982
93,1482.11,0.4821,1.22683,1.04036,0.99793,1,0.995,0.97389,0.31649,0.89361,0.89166,0.0001784,0.0001784,0.0001784
94,1494,0.33207,1.05446,0.96063,0.99786,1,0.995,0.96884,0.31073,0.88523,0.88153,0.0001586,0.0001586,0.0001586
95,1504.87,0.34014,1.01943,0.94467,0.99786,1,0.995,0.96884,0.31073,0.88523,0.88153,0.0001388,0.0001388,0.0001388
96,1516.3,0.35792,0.96678,0.9763,0.99798,1,0.995,0.98269,0.30104,0.88262,0.8731,0.000119,0.000119,0.000119
97,1530.29,0.34792,0.94799,0.96346,0.99798,1,0.995,0.98269,0.30104,0.88262,0.8731,9.92e-05,9.92e-05,9.92e-05
98,1542.06,0.39867,1.02567,0.9692,0.99836,1,0.995,0.98232,0.29434,0.88136,0.8694,7.94e-05,7.94e-05,7.94e-05
99,1555.22,0.30239,0.95262,0.89241,0.99836,1,0.995,0.98232,0.29434,0.88136,0.8694,5.96e-05,5.96e-05,5.96e-05
100,1569.7,0.39305,0.93976,0.90935,0.99826,1,0.995,0.98237,0.28986,0.87229,0.86675,3.98e-05,3.98e-05,3.98e-05
